Year,Country,STATE,Title
2019,South Africa,,Rhino Poacher Killed By Elephant And Eaten By Lions
2019,USA,Louisiana,Shoot The Gap - Two Texans Die Trying
2018,USA,India,The Missionary Position
2018,New Zealand,,Wacky Welder
2018,USA,New Jersey,Mind The Cone Zone
2018,India,,Focus On The Bear
2018,Germany,,Dead On Valentines Day
2018,USA,Arizona,A Gun Named 'Lorena'
2018,Gaza,,Abu Hamam
2018,Malaysia,,Reticulated Python
2018,Czech Republic,,GEOcaching Out!
2018,Poland,,Road-Rage-Aholics
2018,USA,Massachusetts,Booze Cruise Loser
2018,England,,
2018,Germany,,
2018,Romania,,
2018,USA,Maryland,Fumble Tumble
2018,Australia,,Bag-atelle
2018,USA,Pennsylvania,
2017,Russia,,Red Evolution
2017,Malaysia,,Steamy Buns
2017,Japan,,Unpalatable Death By Pallets
2017,Singapore,,Snapchat Prat
2017,Russia,,Backseat Drivers
2017,USA,California,Golf Cart + Garden Hose
2017,Zimbabwe,,#ElephantsWantPrivacy
2017,Germany,,One Way Ticket
2017,Mexico,,Air Strike Out
2017,Argentina,,Pistol Of Justice
2017,USA,,Flat Hatting Pilots
2017,France,,503 Server Overload
2017,England,,Grim Roofer
2016,USA,Wyoming,Soaked To The Bone In Yellowstone
2016,USA,Michigan,Masturbator Meets Hard End
2016,England,,iPhone Shocker
2016,USA,Virginia,Her Sleep Number Was Up
2015,Croatia,,Case Of The Charred Crook
2015,New Zealand,,Zap!titude
2014,The Netherlands,,Double Darwin Award! Sports Training
2014,England,,The Thing Ring
2014,Pakistan,,Resurrection FAIL
2014,England,,La Petite Mort
2014,England,,Man Customizes Car Ignition Sequence To His Peril
2014,USA,Arizona,Crispy Copper Fries
2014,Kenya,,Selfie With Elephant
2014,USA,Georgia,Anchorman
2014,India,,Delhi Sandwich
2014,USA,New York,Race To The Death
2014,Poland,,Pool Party
2014,USA,California,Boogie Board Blunder
2014,Costa Rica,,Banana Bandido
2013,USA,Florida,The Doors-Break On Through
2013,Finland,,Some Finnish
2013,Brazil,,Ecco L'allegro Saldatore
2013,England,,Newcastle Icicle
2012,USA,North Carolina,Smokin' Hot Sauce!
2012,Brazil,,Jack-In-The-Bus
2011,USA,New York,"Motorcycle Helmet Law, ex-Protesto"
2011,Australia,,Planking Spanking
2011,England,,Hotter Copper Whopper
2011,India,,Wedding Jitters
2010,South Korea,,Angry Wheelchair Man
2010,Brazil,,Textbook Double Double Darwin
2010,USA,Washington,"Barrel Ride, With Flames!"
2010,Romania,,The Burdens Of Our Fathers
2010,USA,Arizona,Reckless Spending
2010,South Africa,,Teeming With Crocodiles
2010,USA,Kentucky,Ride 'Em Cowgirl
2010,Brazil,,Tiny Elec Fence
2010,The Netherlands,,Carbidschieten
2009,USA,South Carolina,Sparkleberry Lane
2009,USA,Pennsylvania,Muffled Explosion
2009,Belgium,,Mock Death
2009,USA,Florida,Dying To Go
2009,Germany,,A Shoe-In Winner
2009,Belgium,,Crushing Debt
2009,USA,Tennessee,Tennessee Pee
2009,USA,Oregon,Race To The Bottooommm
2009,USA,Minnesota,Painkiller
2009,Russia,,Doublemint Dumb
2009,USA,North Carolina,Double Dip
2009,USA,Louisiana,She Talks Faster Than She Walks
2009,USA,New York,Saw It Coming!
2009,USA,Utah,Dynamite Rancher
2009,USA,Louisiana,Poor Decision On A Major Scale
2009,Canada,,Missed (But Not Missed By) The Bus
2009,England,,"Epitaph, She Liked Feathers"
2009,India,,Fool's Gold
2009,USA,Arkansas,Wetting The Bed
2009,England,,Bricks in the Head
2009,The Philippines,,Double Parking
2009,USA,Utah,Nutty Putty Cave
2008,Serbia,,Payback
2008,Romania,,Rub the Mint
2008,Italy,,A One Track Mind
2009,France,,An Illuminating Story
2008,Czech Republic,,Thou Shalt Not Steel
2008,USA,Pennsylvania,Pierced!
2008,USA,New York,Boner!
2008,Bulgaria,,Chemistry Went To Her Head
2008,Italy,,On the Piste
2008,USA,Florida,Clotheslined!
2008,Indonesia,,One Foot In The Pool…
2008,South Africa,,Pillar Of Strength
2008,USA,Oklahoma,Not Fast Enough Food
2008,Sweden,,Slippery When Wet
2008,USA,Texas,A Screw Loose
2008,USA,Florida,Shopping Cart Crash
2008,Malaysia,,Killer Fuel Economy
2008,USA,California,Organ Donors
2007,Russia,,"Crutch, Meet Crotch"
2007,USA,Texas,The Enema Within
2007,Germany,,Pushmi-Pullyu
2007,USA,South Carolina,Falling in Love
2007,Czech Republic,,Support Group
2007,Mexico,,Weight Lift
2007,Cambodia,,A Cow-ardly Death
2007,Serbia,,Beer for Bears
2007,USA,Florida,Stop. Look. Listen.
2007,Germany,,Whac-A-Mole
2007,Australia,,A Prop-er Sendoff
2007,USA,Colorado,Oil Tank Trampoline
2007,India,,Elephants Press Back
2007,USA,New York,Ditched
2007,Russia,,The Alchemist
2007,USA,West Virginia,Barn Razing
2007,The Netherlands,,Electronic Fireworks
2007,USA,Indiana,Timing is Everything
2007,Spain,,Sky Surfer
2007,USA,California,The Laptop Still Works!
2007,USA,Oregon,Four Great Ideas
2007,Scotland,,Fatal Foaming Action
2006,England,,Modern Armor
2006,England,,The Human Bottle Rocket
2006,Brazil,,Hammer of Doom
2006,England,,Stubbed Out
2006,USA,Ohio,A Slow Burn
2006,USA,Florida,Score One For Goliath
2006,USA,Florida,High on Life
2006,Gabon,,Faithful Flotation
2006,Belize,,Copper Kite String
2006,Vietnam,,Rolling Stones
2006,Singapore,,Rock Out
2006,Austria,,Crushing De'feet'
2006,Australia,,Footloose in the Footwell
2005,South Africa,,Kittie Toy
2005,Croatia,,Chimney-Cleaning Grenade
2005,USA,Washington,Freeway Dangler
2005,Thailand,,Elephant Tail
2005,USA,Michigan,Failed Frame-Up
2005,Vietnam,,"""Plug Me In"""
2005,Switzerland,,Surprise Attack Surprise
2005,Wales,,Wales Wins
2005,USA,Florida,What I Can Still Do
2005,Zimbabwe,,Mining for Elephants
2005,Malaysia,,Rocketing to Glory
2005,Nebraska,,The Nuisance of Seatbelts
2005,USA,Colorado,Crane Your Neck
2005,USA,Texas,Tide Waits for No Man
2005,South Africa,,Off-Road Driving
2005,USA,California,Death Valley Daze
2005,Russia,,All Wound Up
2005,USA,Indiana,Heck on Wheels
2004,Taiwan,,Rutting Contest
2004,Italy,,Spy vs. Self
2004,Austria,,Man Drowns in Kitchen Sink
2004,USA,Missouri,4-1-0 Club
2004,Italy,,Do-It-Yourself Landmine
2004,The Netherlands,,Stepping Out
2004,USA,Florida,Bannister to Heaven
2004,South Africa,,Watch Out for That Tree!
2004,USA,Oregon,Hold That Bus!
2004,USA,Wisconsin,Right Over the Dam
2004,Wales,,Who Wants Summa This?
2004,Canada,,Aim to Win
2004,USA,Utah,Terminal Creativity
2004,USA,Georgia,Tree vs. Man
2004,USA,New Jersey,Cold Call
2004,Romania,,Chicken to Go
2004,Ukraine,,The Army's a Blast
2004,USA,Georgia,Homemade Wine
2004,Romania,,Damned if You Do…
2004,USA,California,Dope on a Rope
2004,The Netherlands,,Flying Dutchman
2004,USA,Virginia,Tunnel Vision
2004,USA,Washington,Lava Lamp
2004,Thailand,,Snake Man
2004,USA,Washington,Daring Feet
2004,Indonesia,,Amateur Bomb Inspector
2004,Zimbabwe,,Closer Look at Victoria Falls
2003,Australia,,Unsafe and Insane
2003,USA,Indiana,Ultimate Quest for Airtime
2003,England,,Dying for a Ciggie
2003,Brazil,,Workin' at the Car Wash
2003,England,,Love Struck
2003,USA,Michigan,Second Time's the Charm
2003,New Zealand,,Jack Up
2003,USA,California,ZAP!
2003,USA,Virginia,Hurricane Blumpkin
2003,India,,Pancake Thief
2003,Mexico,,A Honey of a Buzz
2003,USA,California,Killer Shades
2003,Cambodia,,Exploding Ex-tortionist
2003,East Timor,,Sharp Landing
2003,USA,New York,"Tree Hard, Head Empty"
2003,Australia,,Master Welder
2003,Spain,,Shooting Blanks
2003,USA,Colorado,Asphalt Tattoo
2003,USA,Minnesota,Self-Demolition Derby
2002,USA,Wisconsin,Shoot 'em Off
2002,USA,Colorado,Faulty Aim Fatal
2002,Croatia,,Firecracker Chainsaw Massacre
2002,USA,Kansas,What's That Sound?
2002,Norway,,Human Torch
2002,USA,Pennsylvania,Wounded Wire Bites Back
2002,Brazil,,"Bees 1, Humans 0"
2002,Ukraine,,Wrong and Wronger
2002,Hungary,,Border Crossing
2002,Italy,,Chainsaw Insurance
2002,Italy,,Slip Sliding Away
2002,USA,Hawaii,Return to Trees Fails
2002,Norway,,The Worm Has Turned
2002,USA,Pennsylvania,Sneakers
2002,USA,New Mexico,Caveat Emptor
2002,USA,North Carolina,Rocket Tester
2002,Bangladesh,,Truck Stop
2002,Romania,,Romanian Trains
2002,Brazil,,Jet Taxi
2002,Brazil,,Losing Face
2002,Belgium,,Booby Traps Trap Boob
2002,USA,Kentucky,Well-Trained
2002,England,,Fir Tree Trimmer
2002,England,,Daredevil
2002,USA,Hawaii,Blowhole
2002,USA,Washington,A Rocky Roll
2002,USA,Washington,Mechanic Mayhem
2002,New Zealand,,Depth of a Fisherman
2001,USA,Tennessee,The Dumb Tax?
2001,Ghana,,BulletProof
2001,USA,Oregon,The Unkindest Cut
2001,Mexico,,Crystal Daze
2001,USA,New York,Fifteen Minutes of Flame
2001,New Zealand,,Rubbish!
2001,USA,Idaho,Think Before You Leap
2001,Scotland,,Killing Time
2001,USA,Montana,Snowmoboater
2001,Hungary,,Pig Jig
2001,USA,Illinois,Sweet Release
2001,USA,New York,Fire Ants
2001,Finland,,Roadkill
2001,Canada,,Coke Is It!
2001,New Zealand,,Thirst for Death
2001,Egypt,,Dodging Drink Dues
2001,USA,California,Path of Least Resistance
2001,USA,Ohio,Fishing With No Compass
2001,USA,Nevada,Jet Ski Spree
2001,USA,New Mexico,Scooter Snuff
2001,Croatia,,Grenade Juggler
2001,USA,Virginia,Slow Learner
2001,Egypt,,Sheep Sleep
2001,USA,Kansas,Precarious Perch
2001,USA,Florida,Bass Ackwards
2001,Tanzania,,Enraged Elephant
2000,USA,California,Shorties: Stupid Human Tricks
2000,USA,Texas,Gun Safety Training
2000,USA,Maine,The Daily Grind
2000,USA,New York,Fireworks Fiasco
2000,Canada,,Niagara Falls
2000,The Philippines,,Home Grown Chute
2000,USA,Texas,Come On In!
2000,USA,Ohio,Human Popsicle
2000,Australia,,Stab in the Dark
2000,Australia,,Forklift Safety Video
2000,Australia,,Sand Surfing
2000,USA,Nevada,Shocking Fall
2000,USA,Maine,Crappy Driving Award
2000,USA,Colorado,"Do It Yourself, Do Yourself In"
2000,USA,New Jersey,Father Knows Best
2000,USA,Illinois,Testing Faith
2000,USA,California,What's That Ringing?
2000,USA,Kentucky,William Tell Overture
2000,Canada,,Chute Boy
2000,USA,,Human Hitching Post
2000,USA,Georgia,Out With a Bang!
2000,USA,Arizona,Ostrich Axioms
2000,Canada,,Settle the Score
2000,USA,Ohio,Rappin' on Heaven's Door
2000,USA,Texas,Short & Sweet
2000,England,,Circular Reasoning
2000,Italy,,Baby Drives Me Crazy
2000,USA,Alaska,Two Avalanche Alaskan
2000,Japan,,3 Clowns on Scooter
2000,England,,Fantastic Plastic Lover
2000,Australia,,Elevator Wedgie
2000,Cambodia,,Hornet Challenge
2000,USA,New Mexico,High on Grass
2000,France,,Running of the Bulls
2000,USA,South Carolina,Hardheads
2000,USA,South Carolina,Stoned Sleep
2000,Canada,,Polar Bear Swim
2000,Australia,,Can Duck Shooters Swim?
2000,USA,California,Kiss of Death
2000,USA,Oregon,Duct Tape
2000,Germany,,Perilous Pose
2000,England,,Tired of it All
2000,USA,Pennsylvania,A Fell Death
2000,Israel,,Throwing Stones
2000,Russia,,Moscow Marauder
2000,Italy,,Concrete Cylinder Roll
2000,USA,Georgia,Power Punch Proves Fatal
1999,Israel,,Living On Zionist Time
1999,Cambodia,,Fatal Footsie
1999,Ukraine,,Gone Fishin'
1999,Denmark,,Hurricane News Junkie
1999,England,,Copper Caper
1999,England,,Up In Smoke
1999,USA,Alabama,Dead Spitter
1999,Scotland,,Sink the Cue Ball
1999,USA,Nevada,Burmese Python
1999,Germany,,The Bumbershoot
1999,Germany,,Smarter Animals
1999,USA,Tennessee,Firefighters Ignite!
1999,Australia,,The Winner Gets... a Post Mortem
1999,USA,Illinois,Go Speed Racer Go
1999,Germany,,Flames of Passion
1999,USA,Virginia,Roller-Coaster
1999,Mexico,,Peeper Plummets
1999,The Philippines,,Intelligence Blunders
1999,USA,California,Walking on Water
1999,USA,Texas,Shell Shot
1999,USA,New York,Dum Dum Boutique
1999,Thailand,,Snake Charmer?
1999,USA,California,Lights Out
1999,USA,Virginia,Laughing Gas
1999,Spain,,What's New Pussycat?
1999,USA,Maine,Maine Chainsaw Romance
1999,USA,California,Yosemite Hike
1999,Scotland,,Breatharianism
1999,Australia,,Rob Your Neighbor
1999,USA,Florida,Love Crushed Sex
1999,Kenya,,Good Trumps Evil at Church
1999,USA,Washington,Wet Will He
1999,Romania,,Couple Dies in Hearse
1999,Germany,,Mental Eclipse
1999,USA,New York,Liposuction Tragedy
1999,USA,Georgia,Hard Work Rewards
1999,Singapore,,Wild Animal Lesson
1999,USA,Washington,Stay With the Herd!
1999,USA,Washington,Ur-inate-iot
1999,USA,California,Yosemite Parachute Safety
1999,Japan,,Fatal Footwear Fashion
1999,Japan,,Wiped Out
1999,USA,Florida,Killer Whale Rodeo
1999,The Netherlands,,Sleepfalling
1999,USA,Ohio,Poisonous Pets
1999,Thailand,,Sauna Kills Monk
1999,England,,Silenced by the Lambs
1999,USA,Utah,Paragliding vs. Parasailing
1998,USA,California,Ski Theft Backfires
1998,USA,Pennsylvania,Hanging Around Jail
1998,USA,Ohio,Guy Gulps Goldfish
1998,USA,Pennsylvania,Modus Operandi Misfires
1998,Canada,,"Mummy Says, Don't Smoke"
1998,USA,Massachusetts,Don't Drink and Fly
1998,USA,Illinois,Dynamite and Boats Don't Mix
1998,USA,New York,
1998,England,,Passionate Plunge
1998,USA,Texas,Dive to Death
1998,Indonesia,,Igniting Fireworks the Easy Way
1998,Argentina,,Wife Tossing in Buenos Aires
1998,USA,Washington,Never Too Old for a Darwin Award
1998,Australia,,Basketball Player Takes a Dunking
1998,USA,Illinois,Don't Chute the Messenger
1997,Holland,,Out of their Heads
1997,USA,Virginia,Bungee Jumper
1997,USA,Pennsylvania,"I'm A Man, I Can Handle It"
1997,Brazil,,No Bike Lane at the Airport
1997,USA,Pennsylvania,Escaping Conviction
1997,USA,North Carolina,Privacy on the Beach
1997,USA,California,Man Slices Off Penis
1997,USA,Kansas,Poor Driving Runs in the Family
1997,USA,Texas,Fatal Flasher
1997,Malaysia,,Tunnels of Doom
1996,France,,Macho Men?
1996,Canada,,Lawyer Aloft
1996,USA,Indiana,Cigarette Lighter Triggers Fatal Explosion
1996,India,,Playing with Cats
1996,USA,New York,Hungry Python Kills Owner
1996,Finland,,Speed Shunting
1996,Canada,,One For the Birds
1995,New Zealand,,Caught in the Auger
1995,Egypt,,Count Your Chickens
1995,USA,Michigan,Repairs on the Road
1995,USA,Arkansas,Whitewater Floaters
1995,USA,Michigan,Electrifying Stunt
1995,Australia,,FishMan
1994,Australia,,Auto Blotto
1994,Canada,,Bottom of the Barrel
1994,USA,Texas,Sizzling Scaffolding
1994,Russia,,Absolutely Radiant
1994,USA,Texas,Conquering the Arch
1994,USA,Missouri,Tight-Lacing
1994,USA,North Carolina,Short Circuit
1994,South Africa,,A Breathtaking View
1994,USA,Florida,Mile-High Club Failure
1994,Northern Ireland,,Military Intelligence
1994,USA,Montana,Antlers Ahoy!
1994,USA,Indiana,"""Hazard Befell Him"""
1994,France,,Electric Bathtub Blues
1994,USA,Chicago,Physics Lesson
1994,England,,Gunpowder-Guy Fawkes
1993,USA,Washington,"Wrong Time, Wrong Place"
1993,USA,New York,Priapism Takes a Penis
1993,USA,North Carolina,Midnight Special
1993,USA,Tennessee,Pancake Pantry Thief
1993,USA,California,Mortal Insult
1993,USA,Illinois,Risky Reenactment
1993,USA,North Carolina,Where's the Shoot? Where's the Chute?
1993,USA,Arizona,Cactus Crunch
1993,England,,Catapult to Glory
1993,Australia,,Kung Fu Lion
1993,USA,California,Dry Spell
1993,USA,Arizona,Samurai Astronomer
1993,England,,Gunpowder-Guy Fawkes
1993,USA,Florida,Deadly Reading Habits
1993,England,,Murderous Affair